id,history,comedy,animation,action,romance,documentary,mystery,crime,science fiction,fantasy,drama,western,horror,adventure,family,thriller,music,foreign,war
298,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
300,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
306,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
308,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
313,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
314,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
319,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
320,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
321,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
327,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
330,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
331,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
334,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
339,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
340,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
346,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
364,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
378,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
379,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
381,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
388,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
389,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
393,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
395,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
396,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
411,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
414,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
415,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
421,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
423,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
429,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
430,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
431,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
435,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
440,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
441,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
452,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
462,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
470,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
476,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
479,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
482,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
483,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
492,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
493,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
494,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
497,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
503,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
505,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
506,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
507,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
521,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
522,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
524,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
525,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
526,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0
534,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
547,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
548,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
549,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
550,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
553,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
558,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
559,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
561,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
562,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
563,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
571,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
573,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
574,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0
576,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
577,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
580,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
583,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
584,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
585,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
586,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
587,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
588,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
590,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
592,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
594,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
600,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
604,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
605,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
